+--------------+----------------------+-------------------------+--------------------------+--------------------------------+---------------------------+------------------------+------------------------+---------------------+
| Type         | SubType              | valoCStrat              | couponCouruStrat         | cleanMarketValueStrat          | valoThStrat               | sensiStrat             | durationStrat          | spreadDurStrat      |
+--------------+----------------------+-------------------------+--------------------------+--------------------------------+---------------------------+------------------------+------------------------+---------------------+
| Equity       | EQUITY               | CASH_VALOC              |                          | CASH_VALOC                     | CASH_VALOC                |                        |                        |                     |
| Cash         | CASH                 | CASH_VALOC              |                          | CASH_VALOC                     | CASH_VALOC                |                        |                        |                     |
| Cash         | CHANGE               | CASH_VALOC              |                          | CASH_VALOC                     | CASH_VALOC                |                        |                        |                     |
| Opcvm        | OPCVM                | OPCVM_VALOC             |                          | OPCVM_VALOC                    | OPCVM_VALOC               |                        |                        |                     |
| Opcvm        | OPCVM_MONETAIRE      | CASH_VALOC              |                          | CASH_VALOC                     | CASH_VALOC                |                        |                        |                     |
| Cds          | CDS                  | CDS_VALO                | CDS_COUPON_COURU         | CDS_CLEAN_MARKET_VALUE         | NOMINAL_AS_VALOTH         |                        |                        | CDS_SPREAD_DURATION |
| Futures      | FUTURES              |                         |                          |                                |                           |                        |                        |                     |
| Futures      | FUTURE_INDEX         | FUTUREINDEX_VALOC       |                          |                                |                           |                        |                        |                     |
| Futures      | FUTURE_LONG          |                         |                          |                                | FUTURELONG_VALOTH         |                        |                        |                     |
| Futures      | FUTURE_COURT         |                         |                          |                                | FUTURECOURT_VALOTH        | FUTURECOURT_SENSI      | FUTURECOURT_DURATION   |                     |
| Futures      | FUTURE_LONG_SSC      |                         |                          |                                | FUTURELONG_VALOTH         |                        |                        |                     |
| FutureOption | OPTIONS              | OPTION_FUTURELONG_VALOC |                          | OPTION_FUTURELONG_VALOC        | OPTION_FUTURECOURT_VALOTH |                        |                        |                     |
| FutureOption | OPTION_FUTURE_LONG   | OPTION_FUTURELONG_VALOC |                          | OPTION_FUTURELONG_VALOC        | OPTION_FUTURELONG_VALOTH  | SENSI_OPTION           |                        |                     |
| FutureOption | OPTION_FUTURE_COURT  | OPTION_FUTURELONG_VALOC |                          | OPTION_FUTURELONG_VALOC        | OPTION_FUTURECOURT_VALOTH | SENSI_OPTION           |                        |                     |
| Swap         | SWAP                 | SWAP_VALOC              | SWAP_COUPON_COURU        | SWAP_CLEAN_MARKET_VALUE        | SWAP_VALOTH               |                        |                        |                     |
| Swap         | JAMBE                | SWAP_VALOC              | SWAP_COUPON_COURU        | SWAP_CLEAN_MARKET_VALUE        | SWAP_VALOTH               |                        |                        |                     |
| Bond         | BOND                 | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | INDEX_LINKED         | INDEXLINKED_VALOC       | INDEXLINKED_COUPON_COURU | INDEXLINKED_CLEAN_MARKET_VALUE |                           | SENSI_BETA             | DURATION_BETA          |                     |
| Bond         | GOVERNEMENT          | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | LOCAL_GOVERNEMENT    | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | SOVEREIGN            | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | AGENCY               | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | COLLATERALIZED       | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | CORPORATE_IG         | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | CORPORATE_HIGH_YIELD | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
| Bond         | CONVERTIBLE          | BOND_VALOC              | BOND_COUPON_COURU        | BOND_CLEAN_MARKET_VALUE        | BOND_VALOTH               |                        |                        |                     |
